,address,historical_description_count,historical_word_count,lat,lng,map_url,name,total_description_count,total_word_count,url,viewport,0
???????,"700, Taiwan, Tainan City, West Central District, Lane 5, Zhongzheng Rd, 1?3?",0,0,22.9912474,120.2046484,https://maps.google.com/?cid=12479489531961578725,Tainan Municipal Administration of Cultural Heritage,49,476,https://zh.wikipedia.org/wiki/%E8%87%BA%E5%8D%97%E5%B8%82%E6%96%87%E5%8C%96%E8%B3%87%E7%94%A2,,0.0
?????,"No. 1, Shennong St, West Central District, Tainan City, Taiwan 700",0,0,22.9967745,120.1980371,https://maps.google.com/?cid=7570649927911862454,???,64,1521,https://zh.wikipedia.org/wiki/%E8%87%BA%E5%8D%97%E6%B0%B4%E4%BB%99%E5%AE%AE,,0.0
????,"No. 73, Section 1, Yonghua Rd, South District, Tainan City, Taiwan 70253",0,0,22.9873482,120.1951223,https://maps.google.com/?cid=8948128981337894700,????,109,2058,https://zh.wikipedia.org/wiki/%E5%8F%B0%E7%81%A3%E5%B0%8F%E5%90%83,,0.0
????,"No. 18, Zhongzheng Rd, Pingtung City, Pingtung County, Taiwan 900",0,0,22.6721669,120.4889697,https://maps.google.com/?cid=9982388408750055322,????,86,2080,https://zh.wikipedia.org/wiki/%E5%8F%B0%E7%81%A3%E5%A5%87%E8%B9%9F,,0.0
??????,"No. 734?, Zhongzheng Rd, Wufeng District, Taichung City, Taiwan 413",0,0,24.0539879,120.6998659,https://maps.google.com/?cid=17324223494509039763,????????????,85,1542,https://zh.wikipedia.org/wiki/%E8%87%BA%E7%81%A3%E7%9C%81%E8%AB%AE%E8%AD%B0%E6%9C%83,,0.0
????,"106, Taiwan, Taipei City, Da?an District, Section 2, Jinshan S Rd, 189?5?",0,0,25.0282226,121.5264488,https://maps.google.com/?cid=3112503822823529069,Legal Aid Foundation,198,3922,https://zh.wikipedia.org/wiki/%E5%8F%B0%E7%81%A3%E6%B3%95%E5%BE%8B,,0.0
????,"Hai'an Rd, Xincheng Township, Hualien County, Taiwan 971",0,0,24.0675854,121.6127816,"https://maps.google.com/?q=Hai%27an+Rd,+Xincheng+Township,+Hualien+County,+Taiwan+971&ftid=0x34689d8ad82aa0f5:0x989be84aa1a1b2f6",Hai'an Road,38,307,https://zh.wikipedia.org/wiki/%E5%8F%B0%E7%81%A3%E6%B5%B7%E5%B2%B8,,0.0
????,"963, Taiwan, Taitung County, Taimali Township, ???????",0,0,22.530918,120.937667,https://maps.google.com/?cid=2959914454316989300,??,91,2629,https://zh.wikipedia.org/wiki/%E5%8F%B0%E7%81%A3%E6%BA%AB%E6%B3%89,,0.0
????,"235, Taiwan, New Taipei City, Zhonghe District, Zhonghe Rd, 480?3?",0,0,25.004195,121.5125689,https://maps.google.com/?cid=2041155110433032311,???,173,5215,https://zh.wikipedia.org/wiki/%E8%87%BA%E7%81%A3%E6%BC%AB%E7%95%AB,,0.0
??????????,"No. 178?, Zhongshan Rd, Beigang Township, Yunlin County, Taiwan 651",0,0,23.567806,120.304645,https://maps.google.com/?cid=8826082841404551118,????-?????,129,1520,https://zh.wikipedia.org/wiki/%E5%9C%8B%E5%AE%9A%E5%8F%A4%E8%B9%9F,,0.0
