,address,historical_description_count,historical_word_count,lat,lng,map_url,name,total_description_count,total_word_count,url,viewport,0
????,"No. 65, Section 1, Shuangshi Rd, North District, Taichung City, Taiwan 404",43,2953,24.144834,120.6844612,https://maps.google.com/?cid=1174973244459044923,Taichung Park,214,4514,https://zh.wikipedia.org/wiki/%E8%87%BA%E4%B8%AD%E5%85%AC%E5%9C%92,,217.40211052752616
????,"No. 65, Section 1, Shuangshi Rd, North District, Taichung City, Taiwan 404",43,2953,24.144834,120.6844612,https://maps.google.com/?cid=1174973244459044923,Taichung Park,214,4514,https://zh.wikipedia.org/wiki/%E8%87%BA%E4%B8%AD%E5%85%AC%E5%9C%92,,217.40211052752616
???,"Hsinchu City, Taiwan 300",49,3321,24.8138297,120.9674752,"https://maps.google.com/?q=Hsinchu+City,+Taiwan+300&ftid=0x34684a77b55ae7f7:0x5e4ce862e2a11ffb",Hsinchu City,679,14251,https://zh.wikipedia.org/wiki/%E6%96%B0%E7%AB%B9%E5%B8%82,"{'southwest': {'lat': 24.7125478, 'lng': 120.8794077}, 'northeast': {'lat': 24.8569956, 'lng': 121.0335449}}",209.50931723583997
??? (????),Lienchiang County,58,2994,26.160243,119.9516652,https://maps.google.com/?q=Lienchiang+County&ftid=0x3441656962a7abd9:0x25944353eaeed59e,Lienchiang County,435,9309,https://zh.wikipedia.org/wiki/%E9%80%A3%E6%B1%9F%E7%B8%A3_(%E4%B8%AD%E8%8F%AF%E6%B0%91%E5%9C%8B),"{'southwest': {'lat': 26.1376619, 'lng': 119.9087721}, 'northeast': {'lat': 26.1753472, 'lng': 119.9738573}}",200.60361200661907
??,"Keelung City, Taiwan",45,2987,25.1276033,121.7391833,"https://maps.google.com/?q=Keelung+City,+Taiwan&ftid=0x345d4dfdb8837495:0x9ef76baa45f26568",Keelung City,426,9636,https://zh.wikipedia.org/wiki/%E5%9F%BA%E9%9A%86%E5%B8%82,"{'southwest': {'lat': 25.0524664, 'lng': 121.6267972}, 'northeast': {'lat': 25.195619, 'lng': 121.8073128}}",199.11082163626114
???,"Keelung City, Taiwan",45,2987,25.1276033,121.7391833,"https://maps.google.com/?q=Keelung+City,+Taiwan&ftid=0x345d4dfdb8837495:0x9ef76baa45f26568",Keelung City,426,9636,https://zh.wikipedia.org/wiki/%E5%9F%BA%E9%9A%86%E5%B8%82,"{'southwest': {'lat': 25.0524664, 'lng': 121.6267972}, 'northeast': {'lat': 25.195619, 'lng': 121.8073128}}",199.11082163626114
????,"Taiwan Coal Mine Museum, Pingxi District, New Taipei City, Taiwan 226",37,2428,25.052778,121.773611,https://maps.google.com/?q=Taiwan+Coal+Mine+Museum&ftid=0x345d50fb1de95ceb:0x4376d6dfba20bc0a,Taiwan Coal Mine Museum,101,2960,https://zh.wikipedia.org/wiki/%E5%8F%B0%E7%81%A3%E7%85%A4%E7%A4%A6,,195.5097778648997
???,"No. 2, Xueyuan Rd, Beitou District, Taipei City, Taiwan 112",38,2725,25.133617,121.468879,https://maps.google.com/?cid=7189341181245376953,Taipei City University of Science and Technology,278,7096,https://zh.wikipedia.org/wiki/%E8%87%BA%E5%8C%97%E5%9F%8E,,190.61866891910913
???,"No. 2, Xueyuan Rd, Beitou District, Taipei City, Taiwan 112",38,2725,25.133617,121.468879,https://maps.google.com/?cid=7189341181245376953,Taipei City University of Science and Technology,278,7096,https://zh.wikipedia.org/wiki/%E8%87%BA%E5%8C%97%E5%9F%8E,,190.61866891910913
????,"Xiangshan District, Hsinchu City, Taiwan 300",29,2346,24.7737031,120.9431152,https://maps.google.com/?cid=10641704646953011038,Department of History,104,3340,https://zh.wikipedia.org/wiki/%E6%96%B0%E7%AB%B9%E6%AD%B7%E5%8F%B2,,186.1559980027984
????,"No. 5, Xuzhou Rd, Zhongzheng District, Taipei City, Taiwan 100",77,2580,25.0422099,121.51947,https://maps.google.com/?cid=9564631799411439331,Central Election Commission,303,5293,https://zh.wikipedia.org/wiki/%E8%87%BA%E7%81%A3%E9%81%B8%E8%88%89,,185.96189568735952
????,"No. 10?, Chengdu Rd, Wanhua District, Taipei City, Taiwan 108",39,2372,25.0420651,121.5069348,https://maps.google.com/?cid=15646484054864345206,The Red House Market For Artists & Designers,138,3497,https://zh.wikipedia.org/wiki/%E8%A5%BF%E9%96%80%E7%B4%85%E6%A8%93,,184.2298285305745
?????,"No. 21, Zhongshan S Rd, Zhongzheng District, Taipei City, Taiwan 100",30,2434,25.0344792,121.5218974,https://maps.google.com/?cid=4893446054581594546,National Chiang Kai-shek Memorial Hall,231,5686,https://zh.wikipedia.org/wiki/%E4%B8%AD%E6%AD%A3%E7%B4%80%E5%BF%B5%E5%A0%82,,174.89838996393064
????,"No. 15, Fuzhou St, Zhongzheng District, Taipei City, Taiwan 100",38,2349,25.0279028,121.5168443,https://maps.google.com/?cid=8676072479902300151,Commerce Industrial Services Portal,214,4763,https://zh.wikipedia.org/wiki/%E8%87%BA%E7%81%A3%E7%B6%93%E6%BF%9F,,172.53830572804597
???,"New Taipei City, Taiwan",27,2183,25.0169826,121.4627868,"https://maps.google.com/?q=New+Taipei+City,+Taiwan&ftid=0x345d5538b0b6645f:0x5aa90dfa6620edc0",New Taipei City,163,4775,https://zh.wikipedia.org/wiki/%E6%96%B0%E5%8C%97%E5%B8%82,"{'southwest': {'lat': 24.673185, 'lng': 121.2826734}, 'northeast': {'lat': 25.2996537, 'lng': 122.0068456}}",162.92048514916755
????,"No. 5, Zhongshan S Rd, Zhongzheng District, Taipei City, Taiwan 100",44,2244,25.0424497,121.5191712,https://maps.google.com/?cid=11306623954657302977,Ministry of Education,253,5498,https://zh.wikipedia.org/wiki/%E8%87%BA%E7%81%A3%E6%95%99%E8%82%B2,,161.7472188231675
?????,"Penghu County, Taiwan",38,2083,23.5711899,119.5793157,"https://maps.google.com/?q=Penghu+County,+Taiwan&ftid=0x346c51373ec4c45d:0xb8e82c8665cfb023",Penghu County,176,3989,https://zh.wikipedia.org/wiki/%E6%BE%8E%E6%B9%96%E7%B8%A3%E6%AD%B7%E5%8F%B2,"{'southwest': {'lat': 23.4830628, 'lng': 119.4671856}, 'northeast': {'lat': 23.7757729, 'lng': 119.7269546}}",157.5571747655318
????,"Penghu County, Taiwan",38,2083,23.5711899,119.5793157,"https://maps.google.com/?q=Penghu+County,+Taiwan&ftid=0x346c51373ec4c45d:0xb8e82c8665cfb023",Penghu County,176,3989,https://zh.wikipedia.org/wiki/%E6%BE%8E%E6%B9%96%E7%B8%A3%E6%AD%B7%E5%8F%B2,"{'southwest': {'lat': 23.4830628, 'lng': 119.4671856}, 'northeast': {'lat': 23.7757729, 'lng': 119.7269546}}",157.5571747655318
????,"Penghu County, Taiwan",38,2083,23.5711899,119.5793157,"https://maps.google.com/?q=Penghu+County,+Taiwan&ftid=0x346c51373ec4c45d:0xb8e82c8665cfb023",Penghu County,176,3989,https://zh.wikipedia.org/wiki/%E6%BE%8E%E6%B9%96%E7%B8%A3%E6%AD%B7%E5%8F%B2,"{'southwest': {'lat': 23.4830628, 'lng': 119.4671856}, 'northeast': {'lat': 23.7757729, 'lng': 119.7269546}}",157.5571747655318
?????,Taiwan,40,2111,23.568037,120.302284,https://maps.google.com/?cid=14954665741904227004,?????[????],196,4700,https://zh.wikipedia.org/wiki/%E5%8C%97%E6%B8%AF%E6%9C%9D%E5%A4%A9%E5%AE%AE,,156.62508322753993
???,"367, Taiwan, Miaoli County, Sanyi Township, ?????????",40,2061,24.4166667,120.7666667,https://maps.google.com/?cid=3339480104130268661,??????????,182,3863,https://zh.wikipedia.org/wiki/%E8%88%8A%E5%B1%B1%E7%B7%9A,,156.05495394167974
